variable_name,source,most_recent_cohort
TUITIONFEE_IN,IPEDS,AcadYr 2024-25
TUITIONFEE_OUT,IPEDS,AcadYr 2024-25
ROOMBOARD_ON,IPEDS,AcadYr 2024-25
ROOMBOARD_OFF,IPEDS,AcadYr 2024-25
BOOKSUPPLY,IPEDS,AcadYr 2024-25
OTHEREXPENSE_ON,IPEDS,AcadYr 2024-25
OTHEREXPENSE_OFF,IPEDS,AcadYr 2024-25
OTHEREXPENSE_FAM,IPEDS,AcadYr 2024-25
COSTT4_A,IPEDS,AcadYr 2023-24
PCTPELL,IPEDS,AcadYr 2023-24
NPT4_PUB,IPEDS,AcadYr 2023-24
NPT41_PUB,IPEDS,AcadYr 2023-24
NPT42_PUB,IPEDS,AcadYr 2023-24
NPT43_PUB,IPEDS,AcadYr 2023-24
NPT44_PUB,IPEDS,AcadYr 2023-24
NPT45_PUB,IPEDS,AcadYr 2023-24
NPT4_PRIV,IPEDS,AcadYr 2023-24
NPT41_PRIV,IPEDS,AcadYr 2023-24
NPT42_PRIV,IPEDS,AcadYr 2023-24
NPT43_PRIV,IPEDS,AcadYr 2023-24
NPT44_PRIV,IPEDS,AcadYr 2023-24
NPT45_PRIV,IPEDS,AcadYr 2023-24
GRAD_DEBT_MDN,NSLDS,
MD_EARN_WNE_P10,Treasury,
